PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Willy Hernangomez,CHA,25,31,7,24,12.1,102.2,104.8,-2.6,13.6,0.97,12.8,10.5,24.3,17.1,13.3,55.0,57.6,22.2,98.76,14.4,2019
Zach Collins,POR,22,3,2,1,28.8,116.3,103.2,13.1,8.3,1.00,17.6,5.6,8.2,7.1,17.6,55.3,62.4,13.9,103.61,5.1,2019
Al Horford,BOS,33,68,41,27,29.0,112.5,106.4,6.1,20.3,2.77,24.7,6.2,16.1,11.3,8.9,58.6,60.5,18.8,100.82,13.4,2018
Alan Williams,BKN,26,5,1,4,5.1,115.3,88.1,27.1,17.6,3.00,15.8,11.4,40.5,26.4,5.3,61.5,61.0,22.2,110.91,27.4,2018
Alex Len,ATL,26,77,28,49,20.1,106.0,110.4,-4.4,8.6,0.89,9.3,9.0,15.9,12.4,10.5,55.1,57.5,21.4,107.31,10.0,2018
Amir Johnson,PHI,32,51,32,19,10.4,104.7,109.7,-5.0,15.6,1.33,21.4,8.4,18.5,13.3,16.1,54.1,57.4,16.9,105.63,8.0,2018
Andre Drummond,DET,25,79,40,39,33.5,111.7,108.4,3.3,6.8,0.64,7.3,15.1,31.1,22.8,11.5,53.6,55.5,22.6,98.15,15.9,2018
Andrew Bogut,GSW,34,11,8,3,12.2,114.3,110.5,3.9,10.4,1.38,19.6,10.0,29.7,20.8,14.3,50.0,52.3,14.8,102.35,9.2,2018
Angel Delgado,LAC,24,2,0,2,7.4,75.8,68.8,7.0,0.0,0.00,0.0,8.3,14.3,10.5,0.0,20.0,25.5,15.0,105.64,0.0,2018
Ante Zizic,CLE,22,59,13,46,18.3,106.3,110.2,-3.9,7.5,0.87,10.5,9.7,19.3,14.4,12.1,55.3,59.0,17.8,99.35,10.3,2018
Anthony Davis,NOP,26,56,25,31,33.0,113.5,110.1,3.4,18.6,1.95,14.1,8.9,24.9,17.0,7.3,54.0,59.7,28.8,103.73,19.7,2018
Aron Baynes,BOS,32,51,32,19,16.1,110.0,102.2,7.7,9.2,1.43,16.3,10.3,17.5,13.9,11.5,51.8,56.7,14.7,102.92,8.3,2018
