PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Jimmy Butler,MIA,30,54,36,18,34.3,113.4,108.5,4.9,28.4,2.81,23.9,5.4,13.7,9.7,8.5,47.4,58.3,24.8,97.96,15.7,2019
Joe Harris,BKN,28,63,30,33,30.9,109.9,108.3,1.6,9.8,1.40,13.5,2.8,10.0,6.4,9.6,57.9,59.2,17.6,102.12,8.6,2019
Joe Ingles,UTA,32,64,41,23,29.9,110.9,105.1,5.8,24.0,2.67,33.5,1.2,11.4,6.6,12.6,56.6,58.8,14.7,100.01,9.6,2019
Joel Embiid,PHI,26,44,28,16,30.2,106.2,101.4,4.8,18.5,1.01,12.0,8.9,27.8,18.6,11.8,51.4,59.3,31.3,101.91,19.7,2019
John Collins,ATL,22,41,15,26,33.2,107.0,112.1,-5.1,7.5,0.80,7.5,8.0,20.8,14.4,9.3,63.2,65.9,22.4,104.32,15.2,2019
John Henson,DET,29,40,8,32,15.0,104.0,104.7,-0.7,13.3,1.50,19.2,7.7,19.1,13.4,12.8,57.9,57.8,16.0,100.77,10.8,2019
Johnathan Motley,LAC,24,13,8,5,3.2,111.1,105.4,5.7,30.8,1.60,25.8,7.7,18.9,13.2,16.1,76.7,77.4,23.5,106.16,17.2,2019
Johnathan Williams,WAS,24,11,6,5,12.3,98.9,116.8,-17.9,6.7,1.50,16.2,9.9,19.9,14.7,10.8,64.0,64.3,9.2,99.90,11.0,2019
Jonah Bolden,PHX,24,7,6,1,6.7,105.7,108.9,-3.2,0.0,0.00,0.0,6.4,14.0,10.0,13.3,36.4,39.2,13.0,105.07,0.3,2019
Jonathan Isaac,ORL,22,32,13,19,29.7,105.5,105.2,0.3,7.0,0.94,9.9,5.7,17.4,11.4,10.6,50.9,54.2,18.1,99.61,10.5,2019
Jordan Bell,MEM,25,29,8,21,8.8,108.0,109.7,-1.6,9.0,0.76,13.6,11.0,18.7,14.9,17.8,55.2,57.7,15.9,104.75,9.6,2019
Josh Jackson,MEM,23,18,9,9,19.8,109.1,105.9,3.3,11.8,1.24,13.7,2.8,11.7,7.3,11.0,51.3,53.9,21.7,105.84,8.8,2019
Josh Reaves,DAL,22,2,1,1,0.7,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,129.29,-33.3,2019
Juan Toscano-Anderson,GSW,26,13,3,10,20.9,99.5,111.5,-12.0,14.4,1.63,24.3,3.1,16.3,9.3,15.0,52.4,52.9,12.5,100.55,7.4,2019
Juancho Hernangomez,MIN,24,48,24,24,17.4,108.6,110.9,-2.3,6.3,1.25,11.4,4.6,18.4,11.1,9.1,49.4,51.8,14.9,105.27,7.2,2019
Julius Randle,NYK,25,64,21,43,32.5,105.7,111.6,-5.9,15.8,1.03,12.8,6.7,22.3,14.2,12.4,49.2,53.8,27.1,99.72,13.1,2019
Justin Anderson,BKN,26,3,2,1,5.6,69.2,94.6,-25.4,0.0,0.00,0.0,0.0,9.1,4.9,0.0,16.7,21.8,15.9,107.82,-4.7,2019
Justin Holiday,IND,31,65,39,26,24.9,108.2,106.3,1.9,7.1,2.17,14.9,1.8,10.1,6.0,6.8,58.1,59.8,13.0,102.37,7.8,2019
Justin Jackson,DAL,25,58,36,22,16.0,112.0,111.3,0.7,7.2,4.08,12.5,2.7,12.0,7.3,3.1,47.1,49.8,15.3,101.46,6.5,2019
Justin James,SAC,23,34,13,21,6.4,96.8,98.3,-1.6,11.6,2.00,14.3,2.6,11.0,6.7,7.1,48.1,48.7,18.4,104.04,7.9,2019
Justise Winslow,MEM,24,11,7,4,32.0,106.2,99.9,6.4,18.3,1.83,21.0,4.3,15.4,9.8,11.4,41.1,44.0,19.0,104.72,7.4,2019
Juwan Morgan,UTA,22,16,10,6,4.6,107.0,92.6,14.4,3.2,0.67,9.1,6.8,16.1,11.8,13.6,55.9,55.9,10.9,104.08,8.1,2019
KZ Okpala,MIA,20,5,2,3,5.2,86.3,118.0,-31.7,7.7,1.00,14.3,3.8,16.0,9.8,14.3,60.0,59.5,10.2,93.32,10.3,2019
Karl-Anthony Towns,MIN,24,35,10,25,33.9,113.9,115.4,-1.5,21.0,1.39,15.7,7.5,24.0,15.5,11.3,60.0,64.2,27.8,104.69,16.8,2019
