PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Dwayne Bacon,CHA,24,39,10,29,17.6,100.9,109.1,-8.2,12.1,1.41,14.6,2.0,12.4,6.9,10.4,38.7,41.9,18.9,99.14,4.9,2019
Dzanan Musa,BKN,20,35,17,18,11.5,100.1,105.5,-5.3,11.6,1.07,14.1,4.2,11.2,7.7,13.2,41.4,46.7,18.7,104.85,6.6,2019
E'Twaun Moore,NOP,31,51,26,25,18.8,108.8,110.7,-1.9,10.9,1.92,13.5,2.7,9.5,6.0,7.1,49.8,50.9,19.6,103.53,7.2,2019
Edmond Sumner,IND,24,25,11,14,13.8,106.6,110.2,-3.7,15.1,2.05,22.2,2.9,7.3,5.2,10.8,46.8,48.5,17.1,101.76,5.6,2019
Elfrid Payton,NYK,26,45,17,28,27.7,109.4,112.3,-3.0,34.7,3.36,36.0,3.9,12.6,8.1,10.7,45.5,47.0,19.0,100.50,11.1,2019
Elie Okobo,PHX,22,54,22,32,13.1,105.8,109.1,-3.3,22.7,2.97,31.2,2.2,10.1,6.1,10.5,46.7,51.1,14.9,101.10,7.7,2019
Emmanuel Mudiay,UTA,24,48,32,16,15.7,106.5,105.3,1.3,21.7,1.65,21.7,2.3,11.7,7.2,13.2,51.7,55.0,21.4,103.01,10.0,2019
Eric Bledsoe,MIL,30,56,47,9,27.2,113.0,99.6,13.3,27.4,2.16,25.5,2.6,11.9,7.6,11.8,53.5,57.9,23.6,108.00,12.8,2019
Eric Gordon,HOU,31,34,21,13,28.6,111.7,110.3,1.4,7.9,1.44,9.2,0.7,5.4,3.0,6.4,47.5,51.1,21.1,107.36,5.6,2019
Evan Fournier,ORL,27,61,26,35,31.7,107.0,110.0,-3.0,16.1,1.61,15.3,0.8,7.3,4.0,9.5,56.4,59.9,23.8,99.90,9.9,2019
Evan Turner,MIN,31,19,3,16,13.2,92.2,103.6,-11.4,23.5,1.46,27.9,2.8,10.7,6.7,19.1,37.3,42.4,15.4,107.37,6.2,2019
Frank Jackson,NOP,21,51,24,27,12.9,108.6,114.6,-5.9,8.6,0.95,11.1,2.6,7.2,4.9,11.7,46.1,50.0,19.6,108.09,4.3,2019
Frank Mason,MIL,26,6,5,1,8.8,88.0,97.4,-9.3,31.4,1.83,28.9,4.5,8.1,6.2,15.8,31.6,33.7,20.1,105.48,3.9,2019
Frank Ntilikina,NYK,21,57,19,38,20.8,104.8,108.7,-3.9,20.9,2.42,28.7,1.8,8.2,4.9,11.8,45.9,49.7,15.2,99.51,6.3,2019
Fred VanVleet,TOR,26,48,35,13,35.8,109.9,104.8,5.1,27.5,2.88,26.4,1.0,8.7,5.0,9.2,50.3,54.6,22.0,100.81,11.2,2019
